"","pollster","sponsors","display_name","fte_grade","start_date","end_date","sample_size","population","year","election_date","candidate_name","state","st_fips","cd_fips","st_cd_fips","dem_cand","rep_cand","DEM","REP"
"640","Tulchin Research",NA,"Tulchin Research","B/C","10/25/18","10/28/18","400","lv","2018","11/6/18","Nate McMurray","New York","36","27","3627","Nate McMurray","Chris Collins","47","43"
"641","Anzalone Liszt Grove","DCCC","ALG Research","B/C","10/25/18","10/28/18","500","lv","2018","11/6/18","Donna E. Shalala","Florida","12","27","1227","Donna E. Shalala","María Elvira Salazar","49","39"
"642","Washington Post/George Mason",NA,"George Mason University","A+","10/25/18","10/28/18","446","lv","2018","11/6/18","Jennifer T. Wexton","Virginia","51","10","5110","Jennifer T. Wexton","Barbara J. Comstock","54","43"
"643","Monmouth U.",NA,"Monmouth University","A","10/24/18","10/28/18","372","lv","2018","11/6/18","Antonio Delgado","New York","36","19","3619","Antonio Delgado","John J. Faso","c(49, 51, 48)","c(44, 43, 46)"
"644","SurveyUSA","Civitas Institute","SurveyUSA","A","10/24/18","10/28/18","565","lv","2018","11/6/18","Linda Coleman","North Carolina","37","02","3702","Linda Coleman","George Holding","40","49"
"645","DeSales University","WFMZ-TV","DeSales University","B/C","9/28/18","10/28/18","1084","rv","2018","11/6/18","Susan Wild","Pennsylvania","42","07","4207","Susan Wild","Martin W. Nothstein","45.6","33.5"
"646","DeSales University","WFMZ-TV","DeSales University","B/C","9/28/18","10/28/18","809","lv","2018","11/6/18","Susan Wild","Pennsylvania","42","07","4207","Susan Wild","Martin W. Nothstein","48.7","37.6"
"647","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/25/18","10/27/18","504","lv","2018","11/6/18","Cindy Axne","Iowa","19","03","1903","Cindy Axne","David Young","43.39","41.23"
"648","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/25/18","10/27/18","504","rv","2018","11/6/18","Cindy Axne","Iowa","19","03","1903","Cindy Axne","David Young","40.19","39.04"
"649","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/23/18","10/27/18","495","lv","2018","11/6/18","Max N. Rose","New York","36","11","3611","Max N. Rose","Dan Donovan","40.49","43.8"
"650","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/23/18","10/27/18","495","rv","2018","11/6/18","Max N. Rose","New York","36","11","3611","Max N. Rose","Dan Donovan","39.25","37.23"
"651","Christopher Newport U.",NA,"Christopher Newport University","A/B","10/18/18","10/27/18","871","lv","2018","11/6/18","Abigail A. Spanberger","Virginia","51","07","5107","Abigail A. Spanberger","David Brat","46","45"
"652","Christopher Newport U.",NA,"Christopher Newport University","A/B","10/18/18","10/27/18","790","lv","2018","11/6/18","Abigail A. Spanberger","Virginia","51","07","5107","Abigail A. Spanberger","David Brat","48","45"
"653","Change Research",NA,"Change Research","B-","10/25/18","10/26/18","682","lv","2018","11/6/18","Ken Harbaugh","Ohio","39","07","3907","Ken Harbaugh","Bob Gibbs","43","49"
"654","Susquehanna","ABC27 News","Susquehanna Polling & Research","B+","10/25/18","10/26/18","303","lv","2018","11/6/18","Brent Ottaway","Pennsylvania","42","13","4213","Brent Ottaway","John Joyce","36","57"
"655","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/24/18","10/26/18","526","lv","2018","11/6/18","Ben McAdams","Utah","49","04","4904","Ben McAdams","Mia B. Love","45.44","45.13"
"656","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/24/18","10/26/18","526","rv","2018","11/6/18","Ben McAdams","Utah","49","04","4904","Ben McAdams","Mia B. Love","44.17","44.37"
"657","Emerson College Polling Society",NA,"Emerson College","A-","10/24/18","10/26/18","327","lv","2018","11/6/18","Debra A. Haaland","New Mexico","35","01","3501","Debra A. Haaland","Janice E. Arnold-Jones","51.4","41.4"
"658","Emerson College Polling Society",NA,"Emerson College","A-","10/24/18","10/26/18","278","lv","2018","11/6/18","Xochitl Torres Small","New Mexico","35","02","3502","Xochitl Torres Small","Yvette Herrell","47.2","46.8"
"659","Emerson College Polling Society",NA,"Emerson College","A-","10/24/18","10/26/18","331","lv","2018","11/6/18","Ben Ray Luján","New Mexico","35","03","3503","Ben Ray Luján","Jerald Steve McFall","54.2","37.2"
"660","Gravis Marketing",NA,"Gravis Marketing","B","10/24/18","10/26/18","782","lv","2018","11/6/18","Kathleen Williams","Montana","30","01","3001","Kathleen Williams","Greg Gianforte","48","48"
"661","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/23/18","10/26/18","498","lv","2018","11/6/18","George B. Scott","Pennsylvania","42","10","4210","George B. Scott","Scott Perry","43.03","44.6"
"662","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/23/18","10/26/18","498","rv","2018","11/6/18","George B. Scott","Pennsylvania","42","10","4210","George B. Scott","Scott Perry","41.64","42.49"
"663","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/20/18","10/26/18","497","lv","2018","11/6/18","Sean Casten","Illinois","17","06","1706","Sean Casten","Peter J. Roskam","45.61","44.4"
"664","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/20/18","10/26/18","497","rv","2018","11/6/18","Sean Casten","Illinois","17","06","1706","Sean Casten","Peter J. Roskam","44.99","39.95"
"665","Dixie Strategies","KUTV 2News","Dixie Strategies","B/C","10/25/18","10/25/18","936","lv","2018","11/6/18","Ben McAdams","Utah","49","04","4904","Ben McAdams","Mia B. Love","49.51","43.05"
"666","Change Research",NA,"Change Research","B-","10/24/18","10/25/18","742","lv","2018","11/6/18","Jessica McClure","Nebraska","31","01","3101","Jessica McClure","Jeff Fortenberry","39","55"
"667","DFM Research","SMART Transportation Division","DFM Research","B/C","10/23/18","10/25/18","350","lv","2018","11/6/18","Kara Eastman","Nebraska","31","02","3102","Kara Eastman","Don Bacon","45","52"
"668","Susquehanna","WBRE-TV | WYOU-TV","Susquehanna Polling & Research","B+","10/23/18","10/25/18","271","lv","2018","11/6/18","Denny Wolff","Pennsylvania","42","09","4209","Denny Wolff","Dan Meuser","36","57"
"669","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/21/18","10/25/18","508","lv","2018","11/6/18","Andy Kim","New Jersey","34","03","3403","Andy Kim","Tom MacArthur","43.99","44.6"
"670","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/21/18","10/25/18","508","rv","2018","11/6/18","Andy Kim","New Jersey","34","03","3403","Andy Kim","Tom MacArthur","39.39","40.85"
"671","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/21/18","10/25/18","501","lv","2018","11/6/18","Josh Harder","California","06","10","0610","Josh Harder","Jeff Denham","47.28","44.92"
"672","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/21/18","10/25/18","501","rv","2018","11/6/18","Josh Harder","California","06","10","0610","Josh Harder","Jeff Denham","48.34","39.21"
"673","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/21/18","10/25/18","501","lv","2018","11/6/18","Betsy Dirksen Londrigan","Illinois","17","13","1713","Betsy Dirksen Londrigan","Rodney Davis","40.97","46.08"
"674","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/21/18","10/25/18","501","rv","2018","11/6/18","Betsy Dirksen Londrigan","Illinois","17","13","1713","Betsy Dirksen Londrigan","Rodney Davis","42.32","42.17"
"675","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/19/18","10/25/18","499","lv","2018","11/6/18","Lizzie Fletcher","Texas","48","07","4807","Lizzie Fletcher","John Abney Culberson","44.83","45.7"
"676","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/19/18","10/25/18","499","rv","2018","11/6/18","Lizzie Fletcher","Texas","48","07","4807","Lizzie Fletcher","John Abney Culberson","41.03","43.03"
"677","Change Research",NA,"Change Research","B-","10/23/18","10/24/18","510","lv","2018","11/6/18","Tracy Mitrano","New York","36","23","3623","Tracy Mitrano","Thomas Reed","47","49"
"678","WPA Intelligence",NA,"WPA Intelligence","B/C","10/22/18","10/24/18","401","lv","2018","11/6/18","J.D. Scholten","Iowa","19","04","1904","J.D. Scholten","Steve King","34","52"
"679","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/20/18","10/24/18","492","lv","2018","11/6/18","Aftab Pureval","Ohio","39","01","3901","Aftab Pureval","Steve Chabot","40.82","49.5"
"680","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/20/18","10/24/18","492","rv","2018","11/6/18","Aftab Pureval","Ohio","39","01","3901","Aftab Pureval","Steve Chabot","40.8","43.59"
"681","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/19/18","10/24/18","499","lv","2018","11/6/18","Debbie Mucarsel-Powell","Florida","12","26","1226","Debbie Mucarsel-Powell","Carlos Curbelo","44.7","43.84"
"682","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/19/18","10/24/18","499","rv","2018","11/6/18","Debbie Mucarsel-Powell","Florida","12","26","1226","Debbie Mucarsel-Powell","Carlos Curbelo","42.56","39.22"
"683","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/19/18","10/24/18","500","lv","2018","11/6/18","Mike Levin","California","06","49","0649","Mike Levin","Diane L. Harkey","53.37","38.65"
"684","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/19/18","10/24/18","500","rv","2018","11/6/18","Mike Levin","California","06","49","0649","Mike Levin","Diane L. Harkey","54.74","35.99"
"685","Jayhawk Consulting",NA,"Jayhawk Consulting Services","C/D","10/22/18","10/23/18","600","lv","2018","11/6/18","Alan LaPolice","Kansas","20","01","2001","Alan LaPolice","Roger Marshall","38","42"
"686","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/19/18","10/23/18","522","lv","2018","11/6/18","Xochitl Torres Small","New Mexico","35","02","3502","Xochitl Torres Small","Yvette Herrell","44.45","44.51"
"687","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/19/18","10/23/18","522","rv","2018","11/6/18","Xochitl Torres Small","New Mexico","35","02","3502","Xochitl Torres Small","Yvette Herrell","43.38","39.75"
"688","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/18/18","10/23/18","496","lv","2018","11/6/18","Gilbert Cisneros","California","06","39","0639","Gilbert Cisneros","Young Kim","46.97","45.95"
"689","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/18/18","10/23/18","496","rv","2018","11/6/18","Gilbert Cisneros","California","06","39","0639","Gilbert Cisneros","Young Kim","49.97","39.57"
"690","Stockton University",NA,"Stockton University","A/B","10/17/18","10/23/18","597","lv","2018","11/6/18","Jeff Van Drew","New Jersey","34","02","3402","Jeff Van Drew","Seth Grossman","55.1","38.1"
"691","Susquehanna","ABC27 News","Susquehanna Polling & Research","B+","10/21/18","10/22/18","311","lv","2018","11/6/18","Jess King","Pennsylvania","42","11","4211","Jess King","Lloyd K. Smucker","46","50"
"692","GBAO",NA,"GBAO","B/C","10/20/18","10/22/18","570","lv","2018","11/6/18","Danny O'Connor","Ohio","39","12","3912","Danny O'Connor","Troy Balderson","47","47"
"693","Thirty-Ninth Street Strategies",NA,"Thirty-Ninth Street Strategies","B/C","10/20/18","10/22/18","400","lv","2018","11/6/18","Lucy McBath","Georgia","13","06","1306","Lucy McBath","Karen Handel","47","48"
"694","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/18/18","10/22/18","508","lv","2018","11/6/18","Elaine G. Luria","Virginia","51","02","5102","Elaine G. Luria","Scott W. Taylor","42.36","45.12"
"695","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/18/18","10/22/18","508","rv","2018","11/6/18","Elaine G. Luria","Virginia","51","02","5102","Elaine G. Luria","Scott W. Taylor","45.04","39.54"
"696","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/18/18","10/22/18","502","lv","2018","11/6/18","Brendan Kelly","Illinois","17","12","1712","Brendan Kelly","Mike Bost","39.36","47.87"
"697","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/18/18","10/22/18","502","rv","2018","11/6/18","Brendan Kelly","Illinois","17","12","1712","Brendan Kelly","Mike Bost","34","42.81"
"698","Mason-Dixon","Argus Leader | KELO-TV","Mason-Dixon Polling & Strategy","A-","10/18/18","10/22/18","500","lv","2018","11/6/18","Tim Bjorkman","South Dakota","46","01","4601","Tim Bjorkman","Dusty Johnson","31","54"
"699","Monmouth U.",NA,"Monmouth University","A","10/18/18","10/22/18","363","lv","2018","11/6/18","Andy Kim","New Jersey","34","03","3403","Andy Kim","Tom MacArthur","c(48, 50, 49)","c(46, 44, 46)"
"700","Siena","Spectrum News | Syracuse.com","Siena College","A","10/18/18","10/22/18","500","lv","2018","11/6/18","Dana Balter","New York","36","24","3624","Dana Balter","John Katko","39","53"
"701","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/16/18","10/22/18","501","lv","2018","11/6/18","Leslie Cockburn","Virginia","51","05","5105","Leslie Cockburn","Denver Riggleman","45.62","44.59"
"702","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/16/18","10/22/18","501","rv","2018","11/6/18","Leslie Cockburn","Virginia","51","05","5105","Leslie Cockburn","Denver Riggleman","44.12","42.5"
"703","Change Research",NA,"Change Research","B-","10/19/18","10/21/18","551","lv","2018","11/6/18","Randy Bryce","Wisconsin","55","01","5501","Randy Bryce","Bryan Steil","45","44"
"704","Change Research","Fight Back CA PAC","Change Research","B-","10/19/18","10/21/18","840","lv","2018","11/6/18","Andrew Janz","California","06","22","0622","Andrew Janz","Devin Nunes","46","51"
"705","Susquehanna","ABC27 News","Susquehanna Polling & Research","B+","10/19/18","10/21/18","366","lv","2018","11/6/18","George B. Scott","Pennsylvania","42","10","4210","George B. Scott","Scott Perry","46","49"
"706","The Political Matrix/The Listener Group","Inweekly","The Political Matrix/The Listener Group",NA,"10/18/18","10/21/18","730","lv","2018","11/6/18","Jennifer M. Zimmerman","Florida","12","01","1201","Jennifer M. Zimmerman","Matt Gaetz","24.8","55.5"
"707","Monmouth U.",NA,"Monmouth University","A","10/17/18","10/21/18","372","lv","2018","11/6/18","Harley Rouda","California","06","48","0648","Harley Rouda","Dana Rohrabacher","c(48, 50, 46)","c(50, 48, 52)"
"708","Washington Post/George Mason",NA,"George Mason University","A+","10/15/18","10/21/18","430","lv","2018","11/6/18","Jennifer T. Wexton","Virginia","51","10","5110","Jennifer T. Wexton","Barbara J. Comstock","56","43"
"709","WPA Intelligence","Club For Growth Action","WPA Intelligence","B/C","10/17/18","10/20/18","401","lv","2018","11/6/18","Joseph Kopser","Texas","48","21","4821","Joseph Kopser","Chip Roy","38","50"
"710","SurveyUSA","KSTP-TV Minneapolis | KAAL-TV","SurveyUSA","A","10/16/18","10/20/18","586","lv","2018","11/6/18","Dan Feehan","Minnesota","27","01","2701","Dan Feehan","Jim Hagedorn","47","45"
"711","TP Research",NA,"TP Research","C/D","10/18/18","10/19/18","440","lv","2018","11/6/18","Harley Rouda","California","06","48","0648","Harley Rouda","Dana Rohrabacher","41.4","49.2"
"712","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/16/18","10/19/18","499","lv","2018","11/6/18","Kristen Carlson","Florida","12","15","1215","Kristen Carlson","Ross Spano","42.84","43.49"
"713","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/16/18","10/19/18","499","rv","2018","11/6/18","Kristen Carlson","Florida","12","15","1215","Kristen Carlson","Ross Spano","43.22","36.97"
"714","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/16/18","10/19/18","506","lv","2018","11/6/18","Matt Cartwright","Pennsylvania","42","08","4208","Matt Cartwright","John Chrin","52.38","39.78"
"715","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/16/18","10/19/18","506","rv","2018","11/6/18","Matt Cartwright","Pennsylvania","42","08","4208","Matt Cartwright","John Chrin","51.32","35.05"
"716","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/15/18","10/19/18","542","lv","2018","11/6/18","Donna E. Shalala","Florida","12","27","1227","Donna E. Shalala","María Elvira Salazar","44.06","36.85"
"717","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/15/18","10/19/18","542","rv","2018","11/6/18","Donna E. Shalala","Florida","12","27","1227","Donna E. Shalala","María Elvira Salazar","41.67","34.34"
"718","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/14/18","10/19/18","497","lv","2018","11/6/18","Carolyn Long","Washington","53","03","5303","Carolyn Long","Jaime Herrera Beutler","40.62","47.58"
"719","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/14/18","10/19/18","497","rv","2018","11/6/18","Carolyn Long","Washington","53","03","5303","Carolyn Long","Jaime Herrera Beutler","34.21","46.39"
"720","Strategic Research Associates","Gray Television","Strategic Research Associates","B/C","10/12/18","10/19/18","650","lv","2018","11/6/18","Mac Schneider","North Dakota","38","01","3801","Mac Schneider","Kelly Armstrong","35","56"
"721","Hendrix College","Talk Business & Politics","Hendrix College","B/C","10/17/18","10/18/18","590","lv","2018","11/6/18","Clarke Tucker","Arkansas","05","02","0502","Clarke Tucker","French Hill","39.5","51.5"
"722","Remington",NA,"Remington Research Group","B","10/17/18","10/18/18","1369","lv","2018","11/6/18","Kristen Carlson","Florida","12","15","1215","Kristen Carlson","Ross Spano","41","47"
"723","American Viewpoint","Arizona Grassroots Advocates","American Viewpoint","B/C","10/16/18","10/18/18","400","lv","2018","11/6/18","Tom O'Halleran","Arizona","04","01","0401","Tom O'Halleran","Wendy J. Rogers","46","46"
"724","Greenberg Quinlan Rosner",NA,"GQR","B","10/16/18","10/18/18","400","lv","2018","11/6/18","Kristen Carlson","Florida","12","15","1215","Kristen Carlson","Ross Spano","47","47"
"725","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/15/18","10/18/18","501","lv","2018","11/6/18","Jared Forrest Golden","Maine","23","02","2302","Jared Forrest Golden","Bruce Poliquin","41.17","41.06"
"726","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/15/18","10/18/18","501","rv","2018","11/6/18","Jared Forrest Golden","Maine","23","02","2302","Jared Forrest Golden","Bruce Poliquin","40.72","37.99"
"727","Siena","Spectrum News | Syracuse.com","Siena College","A","10/15/18","10/18/18","501","lv","2018","11/6/18","Anthony J. Brindisi","New York","36","22","3622","Anthony J. Brindisi","Claudia Tenney","46","45"
"728","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/14/18","10/18/18","490","lv","2018","11/6/18","Richard Neece Ojeda","West Virginia","54","03","5403","Richard Neece Ojeda","Carol Miller","41.3","45.94"
"729","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/14/18","10/18/18","490","rv","2018","11/6/18","Richard Neece Ojeda","West Virginia","54","03","5403","Richard Neece Ojeda","Carol Miller","38.68","44.54"
"730","Muhlenberg","Morning Call","Muhlenberg College","B+","10/14/18","10/18/18","411","lv","2018","11/6/18","Susan Wild","Pennsylvania","42","07","4207","Susan Wild","Martin W. Nothstein","48","41"
"731","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/13/18","10/18/18","488","lv","2018","11/6/18","Gina Ortiz Jones","Texas","48","23","4823","Gina Ortiz Jones","Will Hurd","37.6","53.05"
"732","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/13/18","10/18/18","488","rv","2018","11/6/18","Gina Ortiz Jones","Texas","48","23","4823","Gina Ortiz Jones","Will Hurd","41.35","44.94"
"733","JMC Analytics/Bold Blue Campaigns",NA,"JMC Analytics/Bold Blue Campaigns","B/C","10/13/18","10/18/18","500","lv","2018","11/6/18","Carolyn Bourdeaux","Georgia","13","07","1307","Carolyn Bourdeaux","Rob Woodall","43","49"
"734","JMC Analytics/Bold Blue Campaigns",NA,"JMC Analytics/Bold Blue Campaigns","B/C","10/13/18","10/18/18","500","lv","2018","11/6/18","Lucy McBath","Georgia","13","06","1306","Lucy McBath","Karen Handel","45","49"
"735","U. New Hampshire",NA,"University of New Hampshire","B-","10/10/18","10/18/18","265","lv","2018","11/6/18","Chris Pappas","New Hampshire","33","01","3301","Chris Pappas","Eddie Edwards","46","37"
"736","U. New Hampshire",NA,"University of New Hampshire","B-","10/10/18","10/18/18","234","lv","2018","11/6/18","Ann McLane Kuster","New Hampshire","33","02","3302","Ann McLane Kuster","Steven Negron","53","38"
"737","University of Montana",NA,"University of Montana",NA,"10/10/18","10/18/18","533","lv","2018","11/6/18","Kathleen Williams","Montana","30","01","3001","Kathleen Williams","Greg Gianforte","45.8","45.3"
"738","Target Insyght","Fox 2 News Detroit | MIRS News Service","Target Insyght","C/D","10/15/18","10/17/18","500","lv","2018","11/6/18","Haley Stevens","Michigan","26","11","2611","Haley Stevens","Lena Epstein","48","48"
"739","Target Insyght","Fox 2 News Detroit | MIRS News Service","Target Insyght","C/D","10/15/18","10/17/18","500","lv","2018","11/6/18","Elissa Slotkin","Michigan","26","08","2608","Elissa Slotkin","Mike Bishop","45","48"
"740","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/14/18","10/17/18","503","lv","2018","11/6/18","Sharice Davids","Kansas","20","03","2003","Sharice Davids","Kevin Yoder","47.65","38.62"
"741","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/14/18","10/17/18","503","rv","2018","11/6/18","Sharice Davids","Kansas","20","03","2003","Sharice Davids","Kevin Yoder","44.04","36.75"
"742","POS","NRCC","Public Opinion Strategies","A-","10/14/18","10/17/18","400","lv","2018","11/6/18","Katie Porter","California","06","45","0645","Katie Porter","Mimi Walters","46","50"
"743","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/13/18","10/17/18","506","lv","2018","11/6/18","Jason Crow","Colorado","08","06","0806","Jason Crow","Mike Coffman","46.6","37.9"
"744","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/13/18","10/17/18","506","rv","2018","11/6/18","Jason Crow","Colorado","08","06","0806","Jason Crow","Mike Coffman","45.12","34.93"
"745","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/13/18","10/17/18","487","lv","2018","11/6/18","Mikie Sherrill","New Jersey","34","11","3411","Mikie Sherrill","Jay Webber","48.81","38.38"
"746","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/13/18","10/17/18","487","rv","2018","11/6/18","Mikie Sherrill","New Jersey","34","11","3411","Mikie Sherrill","Jay Webber","45.24","33.12"
"747","University of Utah","Hinckley Institute of Politics | The Salt Lake Tribune","University of Utah",NA,"10/3/18","10/17/18","401","rv","2018","11/6/18","Shireen Ghorbani","Utah","49","02","4902","Shireen Ghorbani","Chris Stewart","29","52"
"748","Clarity",NA,"Clarity Campaign Labs","B/C","10/15/18","10/16/18","840","lv","2018","11/6/18","Jessica Morse","California","06","04","0604","Jessica Morse","Tom McClintock","45","49"
"749","PPP",NA,"Public Policy Polling","A-","10/15/18","10/16/18","681","v","2018","11/6/18","Chuck Enderlin","Georgia","13","03","1303","Chuck Enderlin","Drew Ferguson","26","56"
"750","TargetPoint","REP (partisan)","TargetPoint","B/C","10/14/18","10/16/18","491","lv","2018","11/6/18","Tedra Cobb","New York","36","21","3621","Tedra Cobb","Elise M. Stefanik","40","50"
"751","TargetPoint","REP (partisan)","TargetPoint","B/C","10/14/18","10/16/18","424","lv","2018","11/6/18","Susan Moran Palmer","Ohio","39","16","3916","Susan Moran Palmer","Anthony Gonzalez","39","48"
"752","TargetPoint","REP (partisan)","TargetPoint","B/C","10/14/18","10/16/18","435","lv","2018","11/6/18","Todd Litton","Texas","48","02","4802","Todd Litton","Dan Crenshaw","40","49"
"753","TargetPoint","REP (partisan)","TargetPoint","B/C","10/14/18","10/16/18","406","lv","2018","11/6/18","Leslie Cockburn","Virginia","51","05","5105","Leslie Cockburn","Denver Riggleman","43","48"
"754","TargetPoint","REP (partisan)","TargetPoint","B/C","10/14/18","10/16/18","421","lv","2018","11/6/18","Jennifer T. Wexton","Virginia","51","10","5110","Jennifer T. Wexton","Barbara J. Comstock","47","47"
"755","TargetPoint","REP (partisan)","TargetPoint","B/C","10/14/18","10/16/18","400","lv","2018","11/6/18","Scott Wallace","Pennsylvania","42","01","4201","Scott Wallace","Brian Fitzpatrick","49","45"
"756","TargetPoint","REP (partisan)","TargetPoint","B/C","10/14/18","10/16/18","385","lv","2018","11/6/18","Jason Crow","Colorado","08","06","0806","Jason Crow","Mike Coffman","48","43"
"757","TargetPoint","REP (partisan)","TargetPoint","B/C","10/14/18","10/16/18","365","lv","2018","11/6/18","Katie Porter","California","06","45","0645","Katie Porter","Mimi Walters","42","50"
"758","Lake Research",NA,"Lake Research Partners","A/B","10/13/18","10/16/18","500","lv","2018","11/6/18","Alyse S. Galvin","Alaska","02","01","0201","Alyse S. Galvin","Don Young","44","48"
"759","Siena","Spectrum News","Siena College","A","10/12/18","10/16/18","500","lv","2018","11/6/18","Antonio Delgado","New York","36","19","3619","Antonio Delgado","John J. Faso","43","44"
"760","VCreek/AMG",NA,"VCreek/AMG","B/C","10/14/18","10/15/18","974","lv","2018","11/6/18","Kendra Horn","Oklahoma","40","05","4005","Kendra Horn","Steve Russell","35","51"
"761","McLaughlin",NA,"McLaughlin & Associates","C/D","10/13/18","10/15/18","400","lv","2018","11/6/18","Josh Gottheimer","New Jersey","34","05","3405","Josh Gottheimer","John McCann","47","38"
"762","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/11/18","10/15/18","484","lv","2018","11/6/18","Jennifer T. Wexton","Virginia","51","10","5110","Jennifer T. Wexton","Barbara J. Comstock","48.37","40.96"
"763","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/11/18","10/15/18","484","rv","2018","11/6/18","Jennifer T. Wexton","Virginia","51","10","5110","Jennifer T. Wexton","Barbara J. Comstock","44.86","39.06"
"764","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/11/18","10/15/18","500","lv","2018","11/6/18","Anita Malik","Arizona","04","06","0406","Anita Malik","David Schweikert","35.96","49.97"
"765","Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/11/18","10/15/18","500","rv","2018","11/6/18","Anita Malik","Arizona","04","06","0406","Anita Malik","David Schweikert","35.46","44.83"
"766","Lake Research",NA,"Lake Research Partners","A/B","10/11/18","10/15/18","400","lv","2018","11/6/18","Rob Davidson","Michigan","26","02","2602","Rob Davidson","Bill Huizenga","42","48"
"767","St. Anselm","WMUR","Saint Anselm College","A/B","10/10/18","10/15/18","234","lv","2018","11/6/18","Chris Pappas","New Hampshire","33","01","3301","Chris Pappas","Eddie Edwards","44.4","35.5"
"768","St. Anselm","WMUR","Saint Anselm College","A/B","10/10/18","10/15/18","220","lv","2018","11/6/18","Ann McLane Kuster","New Hampshire","33","02","3302","Ann McLane Kuster","Steven Negron","49.4","22.3"
"769","Alaska Survey Research",NA,"Alaska Survey Research","B/C","10/12/18","10/14/18","500","lv","2018","11/6/18","Alyse S. Galvin","Alaska","02","01","0201","Alyse S. Galvin","Don Young","47.2","49.2"
