pollster,sample_size,type,dem,rep,bmonth,bday,year,emonth,eday,days_until_election
,1208,,40,35,5,25,2000,6,4,161
,1000,,40,38,9,5,2000,9,10,60.5
,800,,39,39,9,5,2000,9,7,62
,589,,42,48,6,14,2000,6,15,145.5
,1004,,41,38,8,18,2000,8,20,80
,745,,46,45,1,17,2000,1,19,294
,1000,,41,42,10,30,2000,11,2,6.5
,881.8052979,,42,40,7,1,2000,7,31,114
,1158,,40,39,11,1,2000,11,4,4.5
,1000,,39,38,9,14,2000,9,19,51.5
,1000,,43,39,10,11,2000,10,16,24.5
,1000,,39,38,9,7,2000,9,12,58.5
,1005,,38,36,8,11,2000,8,13,87
,1016,,49,44,10,30,2000,10,31,7.5
,1019,,46,43,9,4,2000,9,9,61.5
,909,,40,40,3,19,2000,3,21,232
,1000,,48,43,9,27,2000,9,30,39.5
,915.8880005,,42,43,9,1,2000,9,30,52.5
,1011,,35,34,6,16,2000,6,20,142
,586,,44,45,8,10,2000,8,11,88.5
,1000,,38,38,9,11,2000,9,14,55.5
,979,,44,33,2,12,2000,2,14,268
,1411.012085,,45,46,2,24,2000,2,27,255.5
,777,,46,46,9,4,2000,9,6,63
,684,,44,48,7,26,2000,7,27,103.5
,1000,,39,42,10,31,2000,11,2,6
,706,,45,50,10,16,2000,10,18,21
,1004,,36,38,7,28,2000,7,30,101
,1000,,38,37,8,16,2000,8,17,82.5
,1000,,39,38,10,1,2000,10,4,35.5
,1000,,39,36,8,1,2000,8,2,97.5
,1024,,39,36,2,4,2000,2,6,276
,653,,47,48,8,4,2000,8,5,94.5
,806,,51,40,8,17,2000,8,18,81.5
,1000,,41,39,10,8,2000,10,11,28.5
,956,,45,34,8,18,2000,8,20,80
,1000,,39,39,9,25,2000,9,28,41.5
,918,,47,43,7,19,2000,7,23,109
,1000,,37,39,1,3,2000,1,5,308
,868,,36,37,8,4,2000,8,6,94
,1009,,47,43,10,4,2000,10,8,32
,999,,39,36,10,6,2000,10,9,30.5
,1829,,48,42,11,2,2000,11,5,3.5
,1000,,37,38,9,17,2000,9,20,49.5
,1273,,41,38,11,2,2000,11,5,3.5
,756,,47,46,10,13,2000,10,15,24
,1000,,46,43,3,13,2000,3,15,238
,1000,,41,42,4,15,2000,4,18,204.5
,1000,,40,38,9,24,2000,9,27,42.5
,1000,,43,39,10,12,2000,10,17,23.5
,603,,42,48,10,12,2000,10,13,25.5
,803,,46,44,10,12,2000,10,13,25.5
,1005,,41,36,9,10,2000,9,12,57
,814.1940918,,43,41,3,1,2000,3,31,236
,773,,44,35,9,7,2000,9,12,58.5
,1000,,39,37,9,26,2000,10,1,39.5
,971,,47,44,2,9,2000,2,14,269.5
,1007,,43,44,8,8,2000,8,10,90
,807,,45,38,7,16,2000,7,19,112.5
,1000,,42,39,10,9,2000,10,12,27.5
,916,,44,33,7,11,2000,7,17,116
,1000,,36,41,9,19,2000,9,24,46.5
,1027,,48,42,10,9,2000,10,10,28.5
,864.9025269,,41,43,6,1,2000,6,30,144.5
,636,,43,42,10,4,2000,10,5,33.5
,800,,36,40,4,5,2000,4,9,214
,1001,,46,45,7,20,2000,7,23,108.5
,1000,,41,39,10,4,2000,10,9,31.5
,839.1326294,,40,40,4,29,2000,5,1,191
,2350,,49,45,11,5,2000,11,6,1.5
,1000,,39,40,9,21,2000,9,26,44.5
,1000,,41,39,10,25,2000,10,30,10.5
,879,,38,37,3,8,2000,3,10,243
,1000,,38,41,9,20,2000,9,25,45.5
,1000,,37,38,8,13,2000,8,14,85.5
,1000,,35,39,6,4,2000,6,5,155.5
,800,,42,39,1,20,2000,1,25,289.5
,1001,,38,37,9,4,2000,9,6,63
,1000,,43,44,9,15,2000,9,17,52
,1805,,47,43,11,1,2000,11,4,4.5
,1000,,39,38,8,15,2000,8,16,83.5
,1000,,38,39,9,12,2000,9,17,53.5
,2386,,48,47,11,4,2000,11,5,2.5
,1026,,44,47,11,3,2000,11,5,3
,890,,37,37,7,14,2000,7,17,114.5
,654.2962036,,43,39,1,1,2000,1,31,296
,1276,,48,37,1,12,2000,1,13,299.5
,697,,48,46,8,18,2000,8,19,80.5
,502,,45,48,3,10,2000,3,12,241
,825,,38,38,10,18,2000,10,21,18.5
,900,,41,40,9,6,2000,9,7,61.5
,1000,,42,38,10,24,2000,10,29,11.5
,1012,,35,35,6,9,2000,6,12,149.5
,1010,,41,36,9,5,2000,9,7,62
,1000,,40,37,9,27,2000,10,2,38.5
,1001,,41,36,7,8,2000,7,10,121
,1267,,41,38,9,9,2000,9,13,57
,1319,,46,41,1,5,2000,1,6,306.5
,1000,,41,37,9,6,2000,9,11,59.5
,1000,,33,41,8,4,2000,8,6,94
,800,,36,39,7,23,2000,7,25,106
,1000,,39,38,9,13,2000,9,18,52.5
,1000,,38,37,7,30,2000,7,31,99.5
,1273.943481,,47,46,9,4,2000,9,6,63
,1002,,44,36,5,29,2000,5,31,161
,1000,,43,41,10,29,2000,11,1,7.5
,1016,,36,36,5,10,2000,5,13,179.5
,1000,,42,40,6,11,2000,6,13,148
,483,,44,49,2,4,2000,2,6,276
,800,,45,46,8,20,2000,8,22,78
,1000,,36,40,9,18,2000,9,21,48.5
,1217,,39,38,3,21,2000,3,24,229.5
,814,,49,45,1,7,2000,1,10,303.5
,800,,47,43,10,18,2000,10,20,19
,716,,42,39,5,10,2000,5,13,179.5
,766,,46,46,9,20,2000,9,22,47
,1000,,39,36,8,2,2000,8,3,96.5
,1000,,39,38,7,31,2000,7,30,99.5
,632,,47,47,7,25,2000,7,26,104.5
NBC News/Wall Street Journal Poll,945.5666504,,42,42,9,3,2002,9,5,62
Ipsos-Reid/Cook Political Report,791.5999756,,45,44,10,28,2002,10,31,6.5
CNN/Time,1074.06665,,50,41,10,21,2002,10,22,14.5
Zogby America,1001,,45,44,5,14,2002,5,16,174
Marist Poll,1314.599976,,40,40,5,14,2002,5,16,174
Ipsos-Reid/Cook Political Report,791.5999756,,43,44,1,4,2002,1,6,304
Princeton Survey Research Associates,1158.033325,,38,34,4,14,2002,4,16,204
NBC News/Wall Street Journal Poll,842.5,,39,37,1,14,2002,1,16,294
Public Opinion Strategies,1006,,32,32,1,29,2002,1,31,279
Investor's Bussiness Daily/Christain Science Monitor,912,,47,40,10,7,2002,10,13,26
Zogby America,1001,,47,44,10,22,2002,10,24,13
Pew Research,488.3999939,,42,42,5,28,2002,6,2,158.5
Pew Research,488.3999939,,40,43,3,19,2002,3,25,228
Ipsos-Reid/Cook Political Report,791.5999756,,40,40,9,22,2002,9,23,43.5
"Greenberg, Quinlan, Rosner, Research (D)",1035,,46,44,10,30,2002,11,2,4.5
ABC,1417.666626,,41,49,9,3,2002,9,6,61.5
NBC News/Wall Street Journal Poll,945.5666504,,41,43,7,14,2002,7,16,113
Ipsos-Reid/Cook Political Report,505,,45,44,10,25,2002,10,31,8
"Greenberg, Quinlan, Rosner, Research (D)",1144.93335,,46,44,9,2,2002,9,2,64
CBS News Poll,1417.666626,,46,43,10,10,2002,10,11,25.5
CNN/Time,1061,,49,44,10,31,2002,11,3,3.5
The Los Angeles Times,1163,,47,39,8,22,2002,8,25,73.5
CNN/USA Today/Gallup Poll,955.9666748,,46,46,3,14,2002,3,16,235
Princeton Survey Research Associates,1054.966675,,44,43,9,20,2002,9,22,45
ABC,1028,,49,47,9,23,2002,9,26,41.5
ABC News/Washington Post,1507,,43,50,1,24,2002,1,27,283.5
CBS News/New York Times,927.666687,,46,44,9,30,2002,10,2,35
Zogby America,1001,,46,44,9,30,2002,10,2,35
"Greenberg, Quinlan, Rosner, Research (D)",304,,46,43,10,3,2002,10,5,32
CNN/USA Today/Gallup Poll,955.9666748,,50,42,8,19,2002,8,21,77
Princeton Survey Research Associates,1054.966675,,46,41,9,3,2002,9,5,62
CNN/USA Today/Gallup Poll,955.9666748,,43,46,1,11,2002,1,14,296.5
Public Opinion Strategies,1292.599976,,42,42,9,3,2002,9,5,62
Garin-Hart-Yang Research Group for the DNC,1004,,36,33,7,24,2002,7,27,102.5
CNN/USA Today/Gallup Poll,1059.033325,,35,37,9,3,2002,9,5,62
Public Opinion Strategies,1006,,51,49,10,26,2002,10,29,8.5
CNN/Time,787.4666748,,48,47,10,3,2002,10,6,31.5
Ipsos-Reid/Cook Political Report,791.5999756,,37,38,6,14,2002,6,16,143
CNN/USA Today/Gallup Poll,955.9666748,,45,46,5,28,2002,5,29,160.5
Pew Research,775,,44,44,10,15,2002,10,17,20
Associated Press Poll,581,,43,46,10,24,2002,10,25,11.5
ABC,1314.599976,,47,46,7,14,2002,7,16,113
Fox News/Opinion Dynamics,532.4000244,,36,35,3,4,2002,3,7,244.5
CNN/USA Today/Gallup Poll,955.9666748,,48,43,10,3,2002,10,6,31.5
Ipsos-Reid/Cook Political Report,791.5999756,,39,46,1,18,2002,2,3,283
CNN/Time,787.4666748,,50,46,9,20,2002,9,22,45
CNN/Time,1074.06665,,32,40,2,14,2002,2,16,263
Zogby America,1287.599976,,47,43,1,14,2002,1,16,294
Ipsos-Reid/Cook Political Report,791.5999756,,41,37,9,2,2002,9,5,62.5
Ipsos-Reid/Cook Political Report,791.5999756,,39,44,6,7,2002,6,9,150
Ipsos-Reid/Cook Political Report,791.5999756,,44,39,3,14,2002,3,17,234.5
"Greenberg, Quinlan, Rosner, Research (D)",1000,,38,36,3,13,2002,3,19,234
Ipsos-Reid/Cook Political Report,791.5999756,,39,45,6,21,2002,6,23,136
Ipsos-Reid/Cook Political Report,505,,46,43,10,3,2002,10,5,32
NBC News/Wall Street Journal Poll,945.5666504,,41,42,6,14,2002,6,16,143
Ipsos-Reid/Cook Political Report,791.5999756,,46,41,9,3,2002,9,5,62
"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",882,,49,40,6,14,2002,6,16,143
Fox News/Opinion Dynamics,532.4000244,,39,44,3,19,2002,3,25,228
Pew Research,488.3999939,,38,41,1,14,2002,1,16,294
Pew Research,488.3999939,,37,40,2,27,2002,2,28,250.5
"Greenberg, Quinlan, Rosner, Research (D)",1158,,46,44,10,2,2002,10,2,34
ABC,845,,48,48,10,31,2002,11,3,3.5
CNN/USA Today/Gallup Poll,1059.033325,,36,34,7,14,2002,7,16,113
The Los Angeles Times,1163,,47,41,1,14,2002,2,16,278.5
CNN/USA Today/Gallup Poll,1059.033325,,39,40,7,5,2002,7,8,121.5
Fox News/Opinion Dynamics,532.4000244,,38,40,4,28,2002,4,30,190
Garin-Hart-Yang Research Group,1205,,31,32,1,2,2002,1,8,304
ABC,1417.666626,,46,42,9,23,2002,9,26,41.5
CNN/USA Today/Gallup Poll,1012,,39,39,10,18,2002,10,21,16.5
"Greenberg, Quinlan, Rosner, Research (D)",669,,40,47,10,27,2002,10,31,7
Princeton Survey Research Associates,1054.966675,,44,43,9,16,2002,9,19,48.5
Ipsos-Reid/Cook Political Report,791.5999756,,42,36,7,13,2002,7,16,113.5
Ipsos-Reid/Cook Political Report,791.5999756,,41,40,7,8,2002,7,9,119.5
Democracy Corps Poll,762,,42,40,7,23,2002,7,25,104
Democracy Corps Poll,762,,45,43,6,18,2002,6,24,137
Ipsos-Reid/Cook Political Report,791.5999756,,41,43,2,1,2002,2,17,269
NBC News/Wall Street Journal Poll,842.5,,40,40,2,14,2002,2,16,263
"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",882,,47,43,10,23,2002,10,24,12.5
"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",882,,46,40,7,14,2002,7,16,113
Investor's Bussiness Daily/Christain Science Monitor,1301.666626,,43,41,8,14,2002,8,16,82
NBC News/Wall Street Journal Poll,945.5666504,,40,44,1,14,2002,1,16,294
Public Opinion Strategies,1006,,34,34,5,28,2002,5,30,160
CNN/USA Today/Gallup Poll,955.9666748,,44,46,1,25,2002,1,27,283
Ipsos-Reid/Cook Political Report,791.5999756,,44,43,7,11,2002,7,14,115.5
"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",595.4000244,,31,31,1,2,2002,1,4,306
Zogby America,1001,,45,45,9,17,2002,9,22,46.5
Public Opinion Strategies,1006,,31,33,3,25,2002,3,27,224
ABC,1417.666626,,47,45,7,14,2002,7,16,113
Zogby America,1001,,44,44,7,14,2002,7,16,113
Fox News/Opinion Dynamics,869,,43,41,10,2,2002,10,2,34
Zogby America,1001,,46,42,4,14,2002,4,16,204
Fox News/Opinion Dynamics,769,,39,44,10,2,2002,10,2,34
CNN/USA Today/Gallup Poll,955.9666748,,50,42,6,21,2002,6,23,136
Ipsos-Reid/Cook Political Report,505,,45,45,10,28,2002,10,31,6.5
CBS News/New York Times,927.666687,,45,40,8,28,2002,8,29,68.5
Ipsos-Reid/Cook Political Report,791.5999756,,45,41,8,16,2002,8,18,80
CNN/USA Today/Gallup Poll,955.9666748,,43,47,2,14,2002,2,16,263
CBS News/New York Times,927.666687,,45,45,9,17,2002,9,22,46.5
CBS News/New York Times,1001,,47,44,10,22,2002,10,24,13
CBS News/New York Times,900,,40,41,10,22,2002,10,23,13.5
Pew Research,488.3999939,,41,42,5,7,2002,5,9,181
Democracy Corps Poll,762,,45,41,10,14,2002,10,17,20.5
Ipsos-Reid/Cook Political Report,791.5999756,,44,43,9,16,2002,9,19,48.5
Ipsos-Reid/Cook Political Report,791.5999756,,44,43,9,20,2002,9,22,45
Ipsos-Reid/Cook Political Report,791.5999756,,46,40,10,25,2002,10,27,10
Tarrance Group/Lake Snell Perry & Associates,1000,,44,39,6,9,2002,6,11,148
CNN/USA Today/Gallup Poll,1059.033325,,32,33,4,14,2002,4,16,204
Public Opinion Strategies,1395.666626,,47,40,10,2,2002,10,2,34
CNN/USA Today/Gallup Poll,955.9666748,,48,44,4,29,2002,5,1,189
CBS News/New York Times,882,,47,43,10,2,2002,10,2,34
Ipsos-Reid/Cook Political Report,505,,44,47,11,1,2002,11,3,3
Ipsos-Reid/Cook Political Report,791.5999756,,46,41,8,2,2002,8,4,94
CNN/USA Today/Gallup Poll,1003,,39,38,7,29,2002,7,31,98
Ipsos-Reid/Cook Political Report,791.5999756,,41,44,4,19,2002,4,21,199
CNN/USA Today/Gallup Poll,1059.033325,,33,34,1,14,2002,1,16,294
"Greenberg, Quinlan, Rosner, Research (D)",1041.866699,,46,44,6,14,2002,6,16,143
Tarrance Group/Lake Snell Perry & Associates,1000,,39,41,1,14,2002,1,16,294
NBC News/Wall Street Journal Poll,555.9000244,,42,45,6,30,2002,7,1,127.5
American Viewpoint,800,,34,35,3,6,2002,3,11,241.5
NBC News/Wall Street Journal Poll,1012,,42,43,10,18,2002,10,21,16.5
NBC News/Wall Street Journal Poll,842.5,,38,41,8,26,2002,9,1,68
Princeton Survey Research Associates,1201,,36,36,6,11,2002,6,16,144.5
Public Opinion Strategies,1006,,36,30,4,19,2002,4,22,198.5
CNN/USA Today/Gallup Poll,955.9666748,,48,43,9,20,2002,9,22,45
Princeton Survey Research Associates,1054.966675,,44,43,10,1,2002,10,3,34
CBS News/New York Times,927.666687,,41,43,9,12,2002,9,13,53.5
CNN/USA Today/Gallup Poll,1059.033325,,35,33,6,14,2002,6,16,143
Ipsos-Reid/Cook Political Report,791.5999756,,40,43,5,3,2002,5,6,184.5
"Greenberg, Quinlan, Rosner, Research (D)",1041.866699,,46,44,2,14,2002,2,16,263
"Greenberg, Quinlan, Rosner, Research (D)",1041.866699,,40,40,9,22,2002,9,23,43.5
"Greenberg, Quinlan, Rosner, Research (D)",1041.866699,,46,44,9,14,2002,9,16,51
Ipsos-Reid/Cook Political Report,791.5999756,,40,44,7,18,2002,7,21,108.5
Ipsos-Reid/Cook Political Report,791.5999756,,44,44,10,15,2002,10,17,20
Princeton Survey Research Associates,1158.033325,,39,38,1,14,2002,1,16,294
CBS News/New York Times,927.666687,,45,42,9,2,2002,9,2,64
CBS News Poll,1314.599976,,47,40,9,26,2002,9,27,39.5
Ipsos-Reid/Cook Political Report,791.5999756,,40,44,5,17,2002,5,19,171
CNN/USA Today/Gallup Poll,955.9666748,,44,49,6,28,2002,6,30,129
CNN/USA Today/Gallup Poll,955.9666748,,48,42,7,26,2002,7,28,101
CNN/USA Today/Gallup Poll,955.9666748,,46,43,9,2,2002,9,4,63
Ipsos-Reid/Cook Political Report,791.5999756,,44,43,10,1,2002,10,3,34
Zogby America,1001,,44,44,2,26,2002,3,3,249.5
Zogby America,1001,,45,45,1,14,2002,1,16,294
"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",595.4000244,,32,29,1,21,2002,1,23,287
Pew Research,488.3999939,,40,43,4,15,2002,4,18,202.5
Ipsos-Reid/Cook Political Report,791.5999756,,40,42,3,1,2002,3,3,248
CNN/Time,873,,49,46,10,21,2002,10,22,14.5
ABC,1211,,47,49,10,24,2002,10,27,10.5
CNN/Time,715,,45,51,10,31,2002,11,3,3.5
Wirthlin Poll,1314.599976,,45,42,4,14,2002,4,16,204
Public Opinion Strategies,1006,,35,34,7,19,2002,10,21,62
CBS News/New York Times,927.666687,,40,42,10,8,2002,10,9,27.5
NBC News/Wall Street Journal Poll,800,,39,42,9,15,2002,9,19,49
CNN/USA Today/Gallup Poll,1059.033325,,43,44,1,14,2002,1,16,294
"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",882,,48,44,5,14,2002,5,16,174
CBS News/New York Times,927.666687,,36,39,8,14,2002,8,16,82
Public Opinion Strategies,1006,,34,34,7,12,2002,7,15,114.5
ICR,758,,40,40,9,6,2002,9,10,58
Zogby America,1001,,45,43,6,14,2002,6,16,143
CNN/USA Today/Gallup Poll,955.9666748,,50,43,4,5,2002,4,7,213
Princeton Survey Research Associates,1012,,42,43,10,18,2002,10,21,16.5
Ipsos-Reid/Cook Political Report,791.5999756,,39,45,4,12,2002,4,21,202.5
NBC News/Wall Street Journal Poll,758,,40,40,9,2,2002,9,2,64
Public Opinion Strategies,1006,,33,29,3,1,2002,3,3,248
Newsweek,1045,,49,38,10,26,2006,10,27,11.5
NBC News/Wall Street Journal,1006,,45,39,4,21,2006,4,24,198.5
USA Today/Gallup,1362,,58,35,10,6,2006,10,8,31
Newsweek,838,,51,39,10,5,2006,10,6,32.5
Fox News/Opinion Dynamics,1182.80127,,46,33,6,13,2006,6,14,146.5
Diageo/Hotline,1000,,43,33,9,24,2006,9,26,43
Associated Press/AOL News,970,,56,37,10,20,2006,10,25,15.5
Fox News/Opinion Dynamics,900,,49,38,10,24,2006,10,25,13.5
USA Today/Gallup,1007,,59,36,10,6,2006,10,8,31
USA Today/Gallup,923,,50,43,2,9,2006,2,12,269.5
Associated Press-Ispos,1003,,49,36,1,3,2006,1,5,307
Winston Group New Models,1000,,48,40,9,14,2006,9,15,53.5
Democracy Corps,1135,,49,41,12,8,2006,12,12,-33
USA Today/Gallup,1362,,47,45,8,18,2006,8,20,80
Democracy Corps,1135,,48,40,2,23,2006,2,27,255
USA Today/Gallup,1007,,54,41,10,20,2006,10,22,17
Cook Political Report/RT Strategies,1764,,49,36,7,28,2006,7,30,101
USA Today/Gallup,1007,,48,48,9,15,2006,9,17,52
National Public Radio,800,,47,40,7,7,2006,7,11,121
Democracy Corps,1135,,48,41,11,16,2006,11,20,-11
Fox News/Opinion Dynamics,900,,50,41,10,10,2006,10,11,27.5
Newsweek,1205,,55,32,10,19,2006,10,20,18.5
Reuters/Zogby America,1013,,37,34,9,12,2006,9,14,55
Democracy Corps,1135,,48,39,10,19,2006,10,23,17
National Public Radio,800,,52,37,3,12,2006,3,14,239
Fox News/Opinion Dynamics,1182.80127,,42,34,7,11,2006,7,12,118.5
NBC News/Wall Street Journal,1010,,45,39,4,21,2006,4,24,198.5
Newsweek,1045,,50,39,5,11,2006,5,12,179.5
NBC News/Wall Street Journal,1006,,50,37,3,10,2006,3,13,240.5
NBC News/Wall Street Journal,1006,,47,40,5,12,2006,5,16,177
ABC News/Washington Post,1205,,52,37,10,30,2006,11,2,6.5
Cook Political Report/RT Strategies,1546.584717,,51,39,1,22,2006,1,25,287.5
Fox News/Opinion Dynamics,900,,49,36,11,4,2006,11,5,2.5
CNN,636,,55,42,9,22,2006,9,24,45
Newsweek,1045,,50,39,3,16,2006,3,17,235.5
The Harris Poll,795,,49,36,10,6,2006,10,9,30.5
The Harris Poll,1000,,45,30,8,4,2006,8,7,93.5
Democracy Corps,1135,,46,44,2,13,2006,2,17,265
CBS/New York Times,937.3615112,,45,35,7,21,2006,7,25,107
Diageo/Hotline,1000,,41,35,11,11,2006,11,15,-6
Newsweek,1045,,51,38,10,5,2006,10,6,32.5
Los Angeles Times/Bloomberg,1347,,49,35,6,24,2006,6,27,134.5
Los Angeles Times/Bloomberg,1347,,47,35,1,22,2006,1,25,287.5
Pew Research Center,2369,,51,41,4,7,2006,4,16,209.5
USA Today/Gallup,923,,58,35,10,6,2006,10,8,31
CNN,636,,56,40,10,13,2006,10,15,24
CBS/New York Times,598,,52,34,8,27,2006,8,31,70
CNN,934,,52,43,8,18,2006,8,20,80
National School Boards Association,1200,,39,36,5,15,2006,5,17,175
Cook Political Report/RT Strategies,807,,57,35,10,19,2006,10,22,17.5
Cook Political Report/RT Strategies,1764,,49,38,10,5,2006,10,8,31.5
Newsweek,1205,,53,32,11,2,2006,11,3,4.5
Democracy Corps,1135,,48,43,1,16,2006,1,20,293
The Harris Poll,1000,,44,31,7,7,2006,7,10,121.5
Cook Political Report/RT Strategies,1764,,52,39,10,26,2006,10,29,10.5
Associated Press/AOL News,970,,53,36,10,2,2006,10,4,35
ABC News/Washington Post,1205,,55,40,4,6,2006,4,9,213.5
USA Today/Gallup,1362,,50,41,8,7,2006,8,10,90.5
CNN,934,,54,38,10,27,2006,10,29,10
Reuters/Zogby America,1013,,38,29,6,15,2006,6,20,142.5
Los Angeles Times/Bloomberg,1170,,51,38,4,8,2006,4,11,211.5
Associated Press-Ispos,1003,,47,37,2,6,2006,2,8,273
ABC News/Washington Post,1205,,54,38,1,23,2006,1,26,286.5
USA Today/Gallup,923,,50,41,8,7,2006,8,10,90.5
Democracy Corps,1135,,48,43,5,17,2006,5,23,171
Fox News/Opinion Dynamics,1182.80127,,48,32,8,29,2006,8,30,69.5
Diageo/Hotline,1000,,40,33,1,12,2006,1,15,297.5
Diageo/Hotline,1000,,39,33,7,7,2006,7,10,121.5
Associated Press/AOL News,970,,53,39,9,11,2006,9,13,56
Cook Political Report/RT Strategies,1546.584717,,49,38,12,8,2006,12,11,-32.5
CBS/New York Times,937.3615112,,50,35,9,15,2006,9,19,51
USA Today/Gallup,923,,53,38,10,20,2006,10,22,17
USA Today/Gallup,923,,53,41,8,28,2006,8,30,70
USA Today/Gallup,1007,,51,44,11,2,2006,11,5,3.5
Fox News/Opinion Dynamics,1182.80127,,48,34,2,28,2006,3,1,251.5
CNN,934,,54,39,11,3,2006,11,5,3
Associated Press/AOL News,1621,,55,37,8,7,2006,8,9,91
Fox News/Opinion Dynamics,1182.80127,,41,38,5,2,2006,5,3,188.5
NBC News/Wall Street Journal,1006,,49,38,6,9,2006,6,12,149.5
USA Today/Gallup,1362,,53,39,2,28,2006,3,1,251.5
Newsweek,838,,55,37,10,19,2006,10,20,18.5
George Washington University Battleground,1000,,44,41,3,7,2006,3,9,244
USA Today/Gallup,1362,,51,40,11,2,2006,11,5,3.5
CNN,934,,54,41,9,22,2006,9,24,45
Diageo/Hotline,1000,,42,36,5,18,2006,5,21,171.5
Associated Press/AOL News,1621,,54,38,10,2,2006,10,4,35
USA Today/Gallup,923,,50,43,10,21,2006,10,23,16
Pew Research Center,2369,,51,38,9,21,2006,10,4,40.5
USA Today/Gallup,827.2069702,,48,48,9,15,2006,9,17,52
Reuters/Zogby America,1013,,40,29,6,2,2006,6,6,156
Los Angeles Times/Bloomberg,1347,,48,37,7,28,2006,8,1,100
Newsweek,1045,,52,36,11,2,2006,11,3,4.5
Pew Research Center,1795,,47,43,11,1,2006,11,4,4.5
Diageo/Hotline,1000,,43,33,12,12,2006,12,13,-35.5
USA Today/Gallup,923,,47,45,8,18,2006,8,20,80
ABC News/Washington Post,1205,,52,39,8,3,2006,8,6,94.5
NBC News/Wall Street Journal,1010,,52,37,10,28,2006,10,30,9
NBC News/Wall Street Journal,1006,,48,38,7,21,2006,7,24,107.5
Associated Press-Ispos,1003,,49,33,4,3,2006,4,5,217
National Public Radio,800,,42,36,2,15,2006,2,17,264
Democracy Corps,1135,,49,39,11,30,2006,12,4,-25
USA Today/Gallup,1362,,50,43,2,9,2006,2,12,269.5
Quinnipiac University,1080,,48,39,8,17,2006,8,23,79
Fox News/Opinion Dynamics,900,,41,38,9,12,2006,9,13,55.5
Newsweek,1205,,50,34,3,16,2006,3,17,235.5
NBC News/Wall Street Journal,1006,,48,39,10,8,2006,10,10,29
Democracy Corps,1135,,48,40,11,2,2006,11,6,3
USA Today/Gallup,923,,52,42,4,7,2006,4,9,213
USA Today/Gallup,923,,51,39,6,9,2006,6,11,150
CBS/New York Times,937.3615112,,43,34,1,20,2006,1,25,288.5
Democracy Corps,1135,,46,45,3,15,2006,3,21,234
USA Today/Gallup,1362,,52,42,4,7,2006,4,9,213
Pew Research Center,2369,,50,41,2,1,2006,2,5,277
Associated Press/AOL News,1621,,51,39,9,11,2006,9,13,56
Fox News/Opinion Dynamics,1182.80127,,48,30,8,8,2006,8,9,90.5
Pew Research Center,2369,,50,39,9,6,2006,9,10,60
Reuters/Zogby America,1013,,37,32,7,21,2006,7,25,107
Democracy Corps,1135,,49,41,1,22,2006,1,25,287.5
Ispos-Public Affairs,839,,51,44,12,17,2006,12,19,-41
ABC News/Washington Post,1205,,52,40,5,11,2006,5,15,178
NBC News/Wall Street Journal,1006,,47,38,1,26,2006,1,29,283.5
ABC News/Washington Post,1205,,50,42,9,5,2006,9,7,62
Newsweek,1205,,53,34,8,10,2006,8,11,88.5
Pew Research Center,2369,,52,40,9,8,2006,9,11,58.5
Diageo/Hotline,1000,,40,31,10,12,2006,10,16,24
Newsweek,1045,,51,37,10,19,2006,10,20,18.5
Democracy Corps,1135,,47,42,4,13,2006,4,19,205
Associated Press/AOL News,1621,,52,33,8,7,2006,8,9,91
CNN,934,,56,39,10,20,2006,10,22,17
Diageo/Hotline,1000,,48,32,7,20,2006,7,23,108.5
USA Today/Gallup,1362,,51,42,6,1,2006,6,4,157.5
Pew Research Center,2369,,50,41,8,9,2006,8,13,88
NBC News/Wall Street Journal,1010,,50,37,3,10,2006,3,13,240.5
USA Today/Gallup,1362,,50,43,10,21,2006,10,23,16
Associated Press-Ispos,1003,,47,36,3,6,2006,3,8,245
ABC News/Washington Post,1204,,55,37,10,30,2006,11,2,6.5
Fox News/Opinion Dynamics,900,,49,38,9,26,2006,9,27,41.5
Newsweek,1045,,53,36,11,10,2006,11,11,-3.5
Associated Press/AOL News,1621,,53,36,7,10,2006,7,12,119
NBC News/Wall Street Journal,1010,,46,38,12,9,2006,12,12,-33.5
USA Today/Gallup,923,,53,41,9,7,2006,9,10,59.5
Pew Research Center,2369,,49,38,10,17,2006,10,22,18.5
National Public Radio,800,,45,37,12,15,2006,12,18,-39.5
CBS/New York Times,937.3615112,,42,33,12,2,2006,12,6,-27
CNN,636,,53,42,9,29,2006,10,2,37.5
ABC News/Washington Post,1205,,52,39,6,22,2006,6,25,136.5
USA Today/Gallup,1362,,55,39,3,10,2006,3,12,241
NBC News/Wall Street Journal,1010,,47,40,5,12,2006,5,16,177
CBS/New York Times,937.3615112,,44,33,5,4,2006,5,8,185
Newsweek,838,,53,39,10,26,2006,10,27,11.5
The Harris Poll,795,,47,33,10,20,2006,10,23,16.5
CNN,934,,52,38,5,5,2006,5,7,185
Pew Research Center,2369,,51,39,6,14,2006,6,19,143.5
Pew Research Center,2369,,48,40,11,1,2006,11,4,4.5
Associated Press-Ispos,1003,,52,32,6,5,2006,6,7,154
